kick_distance,roof,surface,half_seconds_remaining,score_differential,wind_speed_mph,wind_dir,humidity_pct,weather_type,temp_f,fg_made
31.0,outdoors,astroturf,900.0,-21.0,3.0,,,unknown,75.0,1
25.0,outdoors,astroturf,401.0,-18.0,3.0,,,unknown,75.0,1
25.0,outdoors,astroturf,4.0,15.0,3.0,,,unknown,75.0,1
32.0,outdoors,astroturf,900.0,-12.0,3.0,,,unknown,75.0,1
31.0,outdoors,astroturf,4.0,-2.0,3.0,,,unknown,75.0,1
36.0,dome,astroturf,900.0,-7.0,,,,unknown,,1
29.0,dome,astroturf,21.0,-11.0,,,,unknown,,1
45.0,dome,astroturf,1800.0,8.0,,,,unknown,,0
35.0,dome,astroturf,900.0,7.0,,,,unknown,,1
46.0,dome,astroturf,900.0,7.0,,,,unknown,,1
52.0,dome,astroturf,104.0,-3.0,,,,unknown,,1
21.0,dome,astroturf,1388.0,0.0,,,,unknown,,1
53.0,dome,astroturf,422.0,-9.0,,,,unknown,,0
50.0,outdoors,grass,847.0,9.0,10.0,,,unknown,84.0,1
33.0,outdoors,grass,900.0,3.0,10.0,,,unknown,84.0,1
38.0,outdoors,grass,566.0,6.0,10.0,,,unknown,84.0,1
33.0,outdoors,grass,12.0,-2.0,10.0,,,unknown,84.0,1
25.0,outdoors,grass,1258.0,-7.0,0.0,,,unknown,71.0,1
42.0,outdoors,grass,351.0,-4.0,0.0,,,unknown,71.0,1
51.0,dome,astroturf,1702.0,0.0,,,,unknown,,1
32.0,dome,astroturf,1361.0,-3.0,,,,unknown,,0
49.0,dome,astroturf,431.0,5.0,,,,unknown,,1
27.0,outdoors,grass,1800.0,0.0,12.0,,,unknown,80.0,1
21.0,outdoors,grass,900.0,4.0,12.0,,,unknown,80.0,1
24.0,outdoors,grass,341.0,7.0,12.0,,,unknown,80.0,1
38.0,outdoors,grass,1201.0,-10.0,12.0,,,unknown,80.0,0
44.0,outdoors,grass,900.0,7.0,5.0,,,unknown,60.0,0
37.0,outdoors,grass,7.0,7.0,5.0,,,unknown,60.0,1
41.0,outdoors,grass,367.0,-17.0,5.0,,,unknown,60.0,0
26.0,dome,astroturf,1253.0,0.0,,,,unknown,,0
36.0,dome,astroturf,691.0,7.0,,,,unknown,,1
35.0,dome,astroturf,419.0,-10.0,,,,unknown,,0
30.0,dome,astroturf,437.0,3.0,,,,unknown,,0
39.0,dome,astroturf,238.0,-3.0,,,,unknown,,0
33.0,outdoors,astroturf,1800.0,0.0,5.0,,,unknown,73.0,1
21.0,outdoors,astroturf,1471.0,8.0,5.0,,,unknown,73.0,1
23.0,outdoors,astroturf,7.0,-1.0,5.0,,,unknown,73.0,1
23.0,outdoors,grass,900.0,-7.0,8.0,,,unknown,88.0,1
36.0,outdoors,grass,1111.0,-4.0,8.0,,,unknown,88.0,1
36.0,outdoors,grass,826.0,1.0,8.0,,,unknown,88.0,1
47.0,outdoors,grass,1683.0,0.0,10.0,,,unknown,67.0,0
41.0,outdoors,grass,1084.0,-7.0,10.0,,,unknown,67.0,1
48.0,outdoors,grass,4.0,3.0,10.0,,,unknown,67.0,0
19.0,outdoors,grass,900.0,7.0,12.0,,,unknown,78.0,1
28.0,outdoors,grass,6.0,17.0,12.0,,,unknown,78.0,1
19.0,outdoors,grass,900.0,26.0,12.0,,,unknown,78.0,1
42.0,outdoors,grass,1511.0,0.0,8.0,,,unknown,76.0,1
41.0,outdoors,grass,1358.0,-3.0,8.0,,,unknown,76.0,1
32.0,outdoors,grass,113.0,0.0,8.0,,,unknown,76.0,1
50.0,outdoors,grass,1727.0,3.0,8.0,,,unknown,76.0,1
42.0,outdoors,grass,900.0,21.0,8.0,,,unknown,76.0,1
39.0,outdoors,grass,1574.0,0.0,13.0,,,unknown,82.0,1
51.0,outdoors,grass,900.0,3.0,13.0,,,unknown,82.0,1
36.0,outdoors,grass,849.0,-6.0,13.0,,,unknown,82.0,1
44.0,outdoors,grass,403.0,-3.0,13.0,,,unknown,82.0,1
38.0,outdoors,grass,1536.0,0.0,13.0,,,unknown,82.0,1
48.0,outdoors,grass,1452.0,-3.0,13.0,,,unknown,82.0,1
44.0,outdoors,grass,1189.0,0.0,13.0,,,unknown,82.0,1
32.0,outdoors,grass,900.0,-3.0,13.0,,,unknown,82.0,0
42.0,outdoors,grass,79.0,3.0,13.0,,,unknown,82.0,0
23.0,outdoors,astroturf,1571.0,0.0,16.0,,,unknown,86.0,1
49.0,outdoors,astroturf,1337.0,-3.0,16.0,,,unknown,86.0,0
47.0,outdoors,astroturf,1210.0,17.0,16.0,,,unknown,86.0,0
41.0,outdoors,grass,529.0,-9.0,10.0,,,unknown,86.0,1
35.0,outdoors,grass,1678.0,13.0,10.0,,,unknown,86.0,1
44.0,outdoors,grass,184.0,17.0,10.0,,,unknown,86.0,0
50.0,outdoors,grass,900.0,0.0,8.0,,,unknown,69.0,1
19.0,outdoors,grass,487.0,-3.0,8.0,,,unknown,69.0,1
42.0,outdoors,grass,15.0,0.0,8.0,,,unknown,69.0,1
44.0,outdoors,grass,1403.0,10.0,8.0,,,unknown,69.0,1
27.0,outdoors,grass,137.0,13.0,8.0,,,unknown,69.0,1
45.0,dome,astroturf,1562.0,0.0,,,,unknown,,1
24.0,dome,astroturf,21.0,-11.0,,,,unknown,,1
48.0,dome,astroturf,477.0,5.0,,,,unknown,,1
26.0,outdoors,grass,90.0,0.0,10.0,,,unknown,68.0,1
36.0,outdoors,grass,1636.0,0.0,3.0,,,unknown,74.0,1
40.0,outdoors,grass,900.0,3.0,3.0,,,unknown,74.0,1
31.0,outdoors,grass,683.0,-2.0,3.0,,,unknown,74.0,1
49.0,outdoors,grass,278.0,1.0,3.0,,,unknown,74.0,0
44.0,outdoors,astroturf,1199.0,0.0,5.0,,,unknown,68.0,0
45.0,outdoors,astroturf,900.0,0.0,5.0,,,unknown,68.0,0
31.0,outdoors,astroturf,1453.0,-14.0,5.0,,,unknown,68.0,1
35.0,outdoors,astroturf,130.0,11.0,5.0,,,unknown,68.0,1
50.0,dome,astroturf,1800.0,0.0,,,,unknown,,0
36.0,dome,astroturf,900.0,-7.0,,,,unknown,,1
36.0,dome,astroturf,694.0,4.0,,,,unknown,,1
42.0,dome,astroturf,212.0,7.0,,,,unknown,,0
37.0,dome,astroturf,41.0,-7.0,,,,unknown,,1
